ID,name,Topt_C,fAPARmax,canopy_height_meters,field_capacity,wilting_point,geometry
US-PFr,SE4 Tussock-2 CHEESEHEAD 2019,0.0,0.49510000000000004,0.06697376383091456,0.23,0.08,POINT (-90.2475 45.9245)
US-PFL,SW2 Aspen-3 CHEESEHEAD 2019,0.0,0.4877,19.119294014539726,0.24,0.08,POINT (-90.3177 45.9409)
US-PFj,NE4 Maple-1 CHEESEHEAD 2019,0.0,0.4958,11.041227428134427,0.23,0.09,POINT (-90.227 45.9619)
US-CC2,Coloma Corn 2,0.0,0.4045,0.0,0.27,0.06,POINT (-89.6196 44.1039)
US-NR3,Niwot Ridge Alpine (T-Van West),0.0,0.3301,0.0,0.28,0.12,POINT (-105.5864 40.052)
US-PFt,SE6 Pine-4 CHEESEHEAD 2019,0.0,0.49510000000000004,13.959621298991287,0.25,0.07,POINT (-90.2288 45.9197)
CA-Cbo,"Ontario - Mixed Deciduous, Borden Forest Site",0.0,0.45080000000000003,14.637450495936248,0.29,0.08,POINT (-79.9333 44.3167)
PR-xLA,NEON Lajas Experimental Station (LAJA),23.22,0.5173,0.09721896050195063,0.38,0.28,POINT (-67.0769 18.0212)
US-Ne3,Mead - rainfed maize-soybean rotation site,1.52,0.4027,0.0,0.33,0.16,POINT (-96.4397 41.1797)
US-PHM,Plum Island High Marsh,3.0100000000000002,0.40030000000000004,0.0,0.2,0.08,POINT (-70.8301 42.7423)
US-Tw1,Twitchell Wetland West Pond,14.51,0.4334,0.02201060917981444,0.33,0.18,POINT (-121.6469 38.1074)
US-Hn3,Hanford 100H sagebrush,12.82,0.2898,0.0,0.27,0.13,POINT (-119.4614 46.6878)
US-PFk,SW1 Aspen-2 CHEESEHEAD 2019,0.0,0.4877,13.534742031409268,0.22,0.08,POINT (-90.3425 45.9149)
US-CS2,Tri county school Pine Forest,0.0,0.4053,17.51708532545257,0.31,0.11,POINT (-89.5002 44.1467)
US-ONA,Florida pine flatwoods,18.39,0.5321,0.0,0.19,0.15,POINT (-81.9509 27.3836)
US-CC1,Coloma Corn 1,0.0,0.4566,0.0,0.32,0.09,POINT (-89.6787 44.0732)
US-Rls,RCEW Low Sagebrush,0.0,0.2933,0.0,0.33,0.14,POINT (-116.7356 43.1439)
US-UMd,UMBS Disturbance,0.0,0.44220000000000004,20.807052378409168,0.27,0.1,POINT (-84.6975 45.5625)
US-PFq,SE3 Aspen-4 CHEESEHEAD 2019,0.0,0.49510000000000004,19.658238420494154,0.23,0.06,POINT (-90.2475 45.9271)
